index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
46683,0,27.2,2,5,90,13,7,13,122,0,58,54,52
46684,0,24.5,0,1,54,6,7,13,91,0,63,32,42
46685,0,31.1,0,2,85,13,6,10,38,0,48,66,50
46686,0,22,4,1,115,16,2,7,111,0,70,62,50
46687,1,28.3,5,4,77,10,13,18,276,0,44,68,41
46688,1,24.1,11,8,113,16,8,12,55,0,69,69,44
46689,0,26.4,5,4,70,10,5,5,6,1,60,81,54
46690,0,26.3,0,14,117,20,11,21,604,0,66,57,50
46691,0,25.6,5,0,98,15,2,3,3,1,76,74,58
46692,0,26.2,2,2,93,15,4,6,19,1,61,74,56
46693,0,25.3,9,9,97,14,6,9,130,1,55,68,63
46694,0,23.3,11,5,139,16,12,18,51,0,68,57,49
46695,1,24.1,4,3,73,11,3,5,42,1,64,64,78
46696,0,34.4,8,1,84,11,7,10,172,0,48,72,47
46697,0,26.2,7,1,63,10,5,5,107,1,57,81,62
46698,0,23.6,1,6,86,14,3,6,82,1,64,67,68
46699,0,26.3,2,2,49,10,1,2,43,1,63,81,81
46700,0,26.7,7,4,75,11,1,3,5,0,51,79,55
46701,0,23,1,0,15,3,0,2,18,0,73,36,25
46702,0,29.3,9,6,134,20,3,7,93,0,68,71,49
46703,0,23.5,13,2,94,15,5,8,14,1,66,69,57
46704,0,28.1,2,0,71,12,3,7,21,0,52,73,53
46705,0,26,11,5,108,15,6,11,98,0,53,74,46
46706,1,30.2,5,2,51,9,0,3,110,0,65,64,62
46707,0,29.8,3,0,55,10,4,7,23,1,60,61,64
46708,0,29.7,4,2,93,15,0,5,45,0,60,62,51
46709,0,27.3,9,2,99,14,4,9,12,1,56,73,38
46710,0,25.9,5,6,124,16,11,17,26,0,56,61,52
46711,1,22,1,5,42,7,1,6,108,0,64,52,30
46712,0,28.3,11,1,79,11,1,4,19,1,65,69,56
46713,0,31.8,9,1,111,17,5,6,95,1,67,76,58
46714,0,27.9,9,1,59,10,5,6,3,1,73,72,73
46715,0,25.4,1,2,39,7,2,2,31,1,59,74,86
46716,1,32.1,1,0,68,10,4,7,346,0,76,54,62
46717,0,23.3,6,4,95,14,3,10,106,0,58,60,44
46718,0,28.5,5,5,94,14,7,13,194,1,65,62,46
46719,0,28.2,2,5,101,15,7,11,151,1,64,69,52
46720,0,26.3,11,2,86,15,3,5,63,1,65,77,54
