index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
59796,Clay,26.5,0,3,46,8,0,3,0,57,77,35
59797,Hard,25.8,5,2,145,23,8,15,1,68,62,60
59798,Hard,24.8,6,3,59,11,0,3,0,59,71,57
59799,Clay,24,8,7,102,16,3,4,1,47,83,68
59800,Clay,18.8,5,4,135,19,11,13,1,59,74,61
59801,Hard,26.3,5,0,61,10,6,10,0,49,73,35
59802,Clay,27,1,2,46,8,2,3,1,63,66,80
59803,Clay,21.6,5,3,64,12,2,6,0,67,53,72
59804,Hard,22.3,11,2,51,9,3,3,1,78,82,56
59805,Hard,33,2,2,78,11,10,11,0,54,74,62
59806,Grass,30.2,17,4,101,16,5,8,0,61,77,54
59807,Hard,27.1,2,9,75,12,4,6,1,52,69,81
59808,Hard,26.6,3,4,79,10,7,9,1,53,74,52
59809,Hard,28.3,17,10,147,27,0,3,1,67,79,59
59810,Hard,29.3,4,0,45,8,0,0,1,64,79,69
59811,Clay,28.2,5,8,122,17,13,22,0,57,54,52
59812,Hard,28.2,2,0,35,7,0,0,1,74,81,78
59813,Hard,20.9,1,0,53,8,2,6,0,55,52,46
59814,Clay,33.1,0,6,82,9,14,18,0,60,57,52
59815,Hard,24.1,12,6,137,22,4,8,0,55,71,56
59816,Hard,28.3,4,3,135,21,7,12,1,59,72,53
59817,Clay,22.9,3,2,128,21,1,6,0,77,67,48
59818,Hard,26.4,2,1,100,14,5,8,1,70,64,62
59819,Clay,25.1,3,2,109,16,9,11,0,61,67,68
59820,Grass,34.2,16,5,67,13,1,2,1,60,85,73
59821,Hard,30.1,10,3,102,16,2,5,1,71,74,48
59822,Hard,27.4,12,8,120,18,7,13,0,50,70,56
59823,Hard,23.3,1,3,59,10,0,3,1,81,62,62
59824,Hard,22.5,8,3,63,11,0,0,1,81,88,44
59825,Clay,19.1,6,3,101,15,5,9,1,53,67,55
59826,Hard,27.3,5,1,47,8,0,0,1,64,77,69
59827,Hard,20.9,22,1,124,20,2,5,1,51,89,48
59828,Clay,31,5,4,79,14,0,3,1,59,72,61
59829,Hard,31.1,6,1,86,14,1,3,1,63,67,68
59830,Carpet,26.5,4,1,35,6,0,1,1,63,91,50
59831,Grass,26.3,9,8,105,17,4,5,1,59,82,74
59832,Hard,23.4,2,4,55,9,2,4,0,60,73,56
59833,Grass,30,0,3,50,9,0,1,1,60,67,88
59834,Hard,24.3,5,1,58,10,5,5,1,76,80,69
59835,Clay,38.9,21,8,118,18,4,5,1,56,92,57
59836,Hard,26.1,5,4,76,10,2,4,0,58,73,54
59837,Hard,39,10,4,55,9,5,9,0,51,79,35
59838,Clay,26.1,5,7,97,15,6,13,0,61,59,45
